video_name,filename,Sentiment,original_caption,whisper_transcript,WER,STATUS
842327.mp4,842327_positive_score1.wav,1,Does your friend love surfing the Internet?, Does your friend love surfing the internet?,0.0,KEEP
840018.mp4,840018_positive_score3.wav,3,"No, it`s beautiful outside! The sun`s shining and it`s warm and beautiful!"," No, it's beautiful outside. The sun shining and it's warm and beautiful.",0.0833,KEEP
65086412.mp4,65086412_negative_score-1.wav,-1,John's voice was a good match to the character he played. His character in the movie was that of a swashbuckler., John's voice was a good match to the character he played. His character in the movie was dead of a swashbakra.,0.0952,KEEP
7980898.mp4,7980898_negative_score-1.wav,-1,I missed last months rent so now I have to pay double.," I missed last month's rent, so now I have to pay double.",0.0,KEEP
362.mp4,362_negative_score-2.wav,-2,Why is the teacher upset?, Why is the teacher upset?,0.0,KEEP
79791123.mp4,79791123_positive_score3.wav,3,My friend went ahead and hosted a pizza dinner because he loves pizza., My friend went ahead and hosted a pizza dinner because he loves pizza.,0.0,KEEP
5572716.mp4,5572716_positive_score2.wav,2,My friend loves to go outside because he loves camping., My friend loves to go outside because he loves camping.,0.0,KEEP
257265.mp4,257265_negative_score-3.wav,-3,"When a deaf child does not have a Deaf mentor, the family will continue to be disappointed and their grief will last longer."," When a deaf child does not have a deaf mentor, the family will continue to be disappointed and their grief will last longer.",0.0,KEEP
65174582.mp4,65174582_negative_score-1.wav,-1,"People who watch silent films can't hear it but can imagine a strong, heavy baritone voice from that swashbuckler character."," People who watch silent films can't hear it, but can imagine a strong, heavy, baritone voice from that swashbuckler character.",0.0,KEEP
58733526.mp4,58733526_negative_score-3.wav,-3,"If John did that to me, I won't be friends with him anymore."," If John did that to me, I won't be friends with you anymore.",0.0769,KEEP
8398331.mp4,8398331_negative_score-1.wav,-1,"What? No, right now we're in an economic crisis."," What? No! Right now, we're in an economic crisis.",0.0,KEEP
31655087.mp4,31655087_negative_score-2.wav,-2,Bad weather is in Boston because the ocean is near., bad weather is in Boston because the ocean is near.,0.0,KEEP
17602177.mp4,17602177_negative_score-1.wav,-1,"Last night, there was an accident and traffic was horrible."," Last night, there was an accident, and traffic was horrible. And...",0.1,KEEP
36295789.mp4,36295789_negative_score-1.wav,-1,Mom doesn't like surprises., Mom doesn't like surprises.,0.0,KEEP
253715.mp4,253715_negative_score-1.wav,-1,Then they would ask the HIT group about the car and whether if the glass was broken., Then they would ask the heat group about the car. And whether if the glass was broken.,0.0588,KEEP
171820.mp4,171820_negative_score-1.wav,-1,"My dad likes pineapple cream cheese, like me.", My dad likes pineapple cream cheese like me.,0.0,KEEP
845878.mp4,845878_positive_score3.wav,3,My friend loves the Internet because there are many different websites., My friend loves the internet because there are many different websites.,0.0,KEEP
845676.mp4,845676_negative_score-3.wav,-3,My friend plays video games all day because he does nothing else., My friend plays video games all day because he does nothing else.,0.0,KEEP
58734317.mp4,58734317_negative_score-2.wav,-2,"If there's an emergency, where will you go?"," if there's an emergency, where will you go?",0.0,KEEP
844864.mp4,844864_negative_score-3.wav,-3,"Once my friend starts playing video games, he is hooked to it all night until his eyes pop out."," Once my friend starts playing video games, he is hooked to it all night until his eyes pop out.",0.0,KEEP
253816.mp4,253816_negative_score-1.wav,-1,Or ask the COLLIDED group about the car and if the glass was broken?, or ask the collider group about the car. And if the glass was broken.,0.0714,KEEP
841821.mp4,841821_positive_score3.wav,3,Will Bob be surprised at his surprise party?, Will Bob be surprised at his surprise party?,0.0,KEEP
172630.mp4,172630_neutral_score0.wav,0,"No no no, I hate chocolate cereal."," No no no, I hate chocolate cereal.",0.0,KEEP
173036.mp4,173036_negative_score-2.wav,-2,The car really broke down., The car really broke down.,0.0,KEEP
8397838.mp4,8397838_negative_score-1.wav,-1,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida."," American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.",0.0,KEEP
845574.mp4,845574_negative_score-1.wav,-1,I arrived school late because I was in a bike accident., I arrived school late because I was in a bike accident.,0.0,KEEP
17592194.mp4,17592194_negative_score-2.wav,-2,Alcohol is not always good., Alcohol is not always good.,0.0,KEEP
17582212.mp4,17582212_negative_score-3.wav,-3,I watched a movie last night. I was really scared., I watched a movie last night. I was really scared.,0.0,KEEP
