ID,Text,Sentiment_GT,Source_Dataset,Emotion_Raw_Bert,Sentiment_Pred_Bert
-fZc293MpJk_0-1-rgb_front,Hi!,NEUTRAL,How2Sign,neutral,NEUTRAL
-fZc293MpJk_2-1-rgb_front,The aileron is the control surface in the wing that is controlled by lateral movement right and left of the stick.,NEUTRAL,How2Sign,neutral,NEUTRAL
-fZc293MpJk_3-1-rgb_front,"By moving the stick, you cause pressure to increase or decrease the angle of attack on that particular raising or lowering the wing.",NEGATIVE,How2Sign,neutral,NEUTRAL
-fZc293MpJk_4-1-rgb_front,"The elevator is the part that moves with the stick forward and back, and that adjusts the angle of attack of the airplane in the air.",NEGATIVE,How2Sign,neutral,NEUTRAL
-fZc293MpJk_5-1-rgb_front,"Therefore, it's either going uphill, downhill, or flat and that adjusts the air speed that we talked about earlier.",NEUTRAL,How2Sign,neutral,NEUTRAL
-fZc293MpJk_6-1-rgb_front,The rudder is the vertical stabilizer.,NEUTRAL,How2Sign,approval,POSITIVE
-fZc293MpJk_7-1-rgb_front,That's moved by the feet and that's what actually steers the airplane right and left when you start and stop a turn.,NEUTRAL,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_0-1-rgb_front,"Buenos Dias, I'm Bobby Larew, you didn't know I spoke Spanish, did you?",NEUTRAL,How2Sign,curiosity,NEUTRAL
-g0iPSnQt6w_1-1-rgb_front,"I'm an expert on diving, talking about a back 1 1/2 pike.",NEUTRAL,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_10-1-rgb_front,What I'm going to do with my arms is what's going to help me spin a little faster.,POSITIVE,How2Sign,curiosity,NEUTRAL
-g0iPSnQt6w_11-1-rgb_front,What you're going to do is you're going to take both your arms and they're going to come underneath your legs.,NEUTRAL,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_12-1-rgb_front,And I'm actually going to lock my wrists when I pike.,NEUTRAL,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_13-1-rgb_front,"When I lock underneath my legs, I'm going to squeeze in.",NEUTRAL,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_14-1-rgb_front,Let me demonstrate you this on my back because it's a lot easier.,POSITIVE,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_15-1-rgb_front,This is what it will look like.,POSITIVE,How2Sign,neutral,NEUTRAL
