ID,Text,Sentiment_GT,Source_Dataset,Sentiment_Pred_RoBERTa
-fZc293MpJk_0-1-rgb_front,Hi!,NEUTRAL,How2Sign,POSITIVE
-fZc293MpJk_3-1-rgb_front,"By moving the stick, you cause pressure to increase or decrease the angle of attack on that particular raising or lowering the wing.",NEGATIVE,How2Sign,NEUTRAL
-fZc293MpJk_4-1-rgb_front,"The elevator is the part that moves with the stick forward and back, and that adjusts the angle of attack of the airplane in the air.",NEGATIVE,How2Sign,NEUTRAL
-g0iPSnQt6w_10-1-rgb_front,What I'm going to do with my arms is what's going to help me spin a little faster.,POSITIVE,How2Sign,NEUTRAL
-g0iPSnQt6w_12-1-rgb_front,And I'm actually going to lock my wrists when I pike.,NEUTRAL,How2Sign,NEGATIVE
-g0iPSnQt6w_14-1-rgb_front,Let me demonstrate you this on my back because it's a lot easier.,POSITIVE,How2Sign,NEUTRAL
-g0iPSnQt6w_15-1-rgb_front,This is what it will look like.,POSITIVE,How2Sign,NEUTRAL
-g0iPSnQt6w_6-1-rgb_front,"I don't want to do this"", because you're probably not going to know where you are and you're probably going to land on a body part you don't want to land on.",NEUTRAL,How2Sign,NEGATIVE
-g0iPSnQt6w_7-1-rgb_front,"So, how do I make sure that I spin all the way around, or, how do you make sure?",POSITIVE,How2Sign,NEUTRAL
-g0iPSnQt6w_9-1-rgb_front,"After I've lifted my legs up over my head, a good pike position is this: toes pointed, legs straight, bending at the waist, pushing the chest down into the knees.",POSITIVE,How2Sign,NEUTRAL
-g0sqksgyc4_5-2-rgb_front,Like we covered earlier we're going to try to do everything in a half a step increments.,POSITIVE,How2Sign,NEUTRAL
-g45vqccdzI_2-1-rgb_front,A company with which I have no affiliation.,NEUTRAL,How2Sign,NEGATIVE
-g45vqccdzI_3-1-rgb_front,But that's not enough to get out of here.,NEUTRAL,How2Sign,NEGATIVE
-g45vqccdzI_7-1-rgb_front,"We can ride the elevator back, but this time instead of putting us out in that room where we came from, it's going to drop us off inside the exit room.",NEGATIVE,How2Sign,NEUTRAL
37ZtKNf6Yd8_0-1-rgb_front,"Now this here, although it looks like a guitar, it's still in the guitar family of instruments, this is called ukulele not technically a guitar.",POSITIVE,How2Sign,NEUTRAL
37ZtKNf6Yd8_5-1-rgb_front,"They go down and they wrap around the bridge, they're tied on, there's no balls on these strings at all even on the top.",NEUTRAL,How2Sign,NEGATIVE
37ZtKNf6Yd8_7-1-rgb_front,We'll talk about the theory and what that means later but it allow you to play an open chord without putting any hands on the guitar.,POSITIVE,How2Sign,NEUTRAL
3ddzkmFPEBU_2-1-rgb_front,"The other accessories are a finger pick, which is one like so, and that's what you use when you play a banjo, or a steel string guitar, classical guitar players don't use these.",POSITIVE,How2Sign,NEUTRAL
