video_name,Source collection,caption,video_exists,has_caption,num_words,num_chars
842125.mp4,Jonathan_2012-11-27_sc94,Is the video phone clear?,True,True,5,25
634423.mp4,Cory_2013-6-27_sc113,Have the friends traveled before?,True,True,5,33
10596830.mp4,9-Ben-Sensory-Politics,"Or perhaps there's something wrong with the voice, or the person will be thought to be slow-minded.",True,True,17,99
841415.mp4,Jonathan_2012-11-27_sc94,My friend is calling home on the video phone.,True,True,9,45
29238789.mp4,10-Ben-Conclusion,"They talk about the superiority of vision, and the ""tyranny of the hegemony of sound"".",True,True,15,86
1539823.mp4,Rachel_2011-12-08_sc44,"""The table over there has a book that someone left."" ""No there is no table over there or a book.""",True,True,20,97
60172913.mp4,5-Ben-Deaf-Grunts,The grunt itself is a deep gruntal sound almost like a pig sound in the throat.,True,True,16,79
48853866.mp4,8-Ben-Control-of-sound-places,"He went out of the bathroom, and he saw his mother looked so horrified as she was on the phone. He asked her, ""What's wrong?"" She said, ""Oh, you made terrible noises.""  He was surprised about it.",True,True,37,195
173238.mp4,Cory_2013-6-27_sc110,"No, I used the right key.",True,True,6,25
79795117.mp4,Cory_2013-6-27_sc114,The bride and groom danced at their wedding by picking their song.,True,True,12,66
8398627.mp4,Cory_2013-6-27_sc109,"No, no one has found the umbrella, it's still missing.",True,True,10,54
15717949.mp4,Jonathan_2012-11-27_sc97,"When my sister goes water tubing, we have to watch to make sure she doesn`t fall off.",True,True,17,85
64464227.mp4,2-Ben-Voice-Identity,It reflects that the concept that a person's identity can be found in the tempo of their speech.,True,True,18,96
61836107.mp4,Cory_2013-6-27_sc115,What time is water tubing?,True,True,5,26
619057.mp4,Cory_2013-6-27_sc115,"If Bob sends his resume, he is guaranteed the job.",True,True,10,50
255134.mp4,Rachel_2012-02-14_sc66,"Why don't we use ""early involvement"", which means involving the parents by sharing the resources and working together; and not intervening them.",True,True,22,144
633632.mp4,Cory_2013-6-27_sc113,When do you start work?,True,True,5,23
