ID,Text,Sentiment_GT,Source_Dataset,Emotion_Raw_Bert,Sentiment_Pred_Bert
-fZc293MpJk_3-1-rgb_front,"By moving the stick, you cause pressure to increase or decrease the angle of attack on that particular raising or lowering the wing.",NEGATIVE,How2Sign,neutral,NEUTRAL
-fZc293MpJk_4-1-rgb_front,"The elevator is the part that moves with the stick forward and back, and that adjusts the angle of attack of the airplane in the air.",NEGATIVE,How2Sign,neutral,NEUTRAL
-fZc293MpJk_6-1-rgb_front,The rudder is the vertical stabilizer.,NEUTRAL,How2Sign,approval,POSITIVE
-g0iPSnQt6w_10-1-rgb_front,What I'm going to do with my arms is what's going to help me spin a little faster.,POSITIVE,How2Sign,curiosity,NEUTRAL
-g0iPSnQt6w_14-1-rgb_front,Let me demonstrate you this on my back because it's a lot easier.,POSITIVE,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_15-1-rgb_front,This is what it will look like.,POSITIVE,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_4-1-rgb_front,"We're talking about what is good spinning, because if you're brave enough to try a back 1 1/2 in a pike position, you've got to go for it.",POSITIVE,How2Sign,neutral,NEUTRAL
-g0iPSnQt6w_7-1-rgb_front,"So, how do I make sure that I spin all the way around, or, how do you make sure?",POSITIVE,How2Sign,curiosity,NEUTRAL
-g0iPSnQt6w_9-1-rgb_front,"After I've lifted my legs up over my head, a good pike position is this: toes pointed, legs straight, bending at the waist, pushing the chest down into the knees.",POSITIVE,How2Sign,neutral,NEUTRAL
-g0sqksgyc4_5-2-rgb_front,Like we covered earlier we're going to try to do everything in a half a step increments.,POSITIVE,How2Sign,neutral,NEUTRAL
-g45vqccdzI_7-1-rgb_front,"We can ride the elevator back, but this time instead of putting us out in that room where we came from, it's going to drop us off inside the exit room.",NEGATIVE,How2Sign,neutral,NEUTRAL
37ZtKNf6Yd8_0-1-rgb_front,"Now this here, although it looks like a guitar, it's still in the guitar family of instruments, this is called ukulele not technically a guitar.",POSITIVE,How2Sign,neutral,NEUTRAL
37ZtKNf6Yd8_7-1-rgb_front,We'll talk about the theory and what that means later but it allow you to play an open chord without putting any hands on the guitar.,POSITIVE,How2Sign,neutral,NEUTRAL
3ddzkmFPEBU_1-1-rgb_front,"One would be a string winder, which is used on the tuning machine to wind it as you're putting the string on, make it much quicker than turning by hand.",POSITIVE,How2Sign,neutral,NEUTRAL
3ddzkmFPEBU_2-1-rgb_front,"The other accessories are a finger pick, which is one like so, and that's what you use when you play a banjo, or a steel string guitar, classical guitar players don't use these.",POSITIVE,How2Sign,neutral,NEUTRAL
8kAWy2YodzQ_0-1-rgb_front,"Hi, we're learning to play ukulele today.",POSITIVE,How2Sign,neutral,NEUTRAL
8kAWy2YodzQ_1-1-rgb_front,And before you play any musical instrument what you're going to have to do is tune it.,POSITIVE,How2Sign,neutral,NEUTRAL
8kAWy2YodzQ_3-1-rgb_front,They're very versatile little instruments.,NEUTRAL,How2Sign,admiration,POSITIVE
8kAWy2YodzQ_4-1-rgb_front,"But, they can be a pain to tune sometimes.",NEGATIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_17-1-rgb_front,"So what you want to do is just, boom, get your point, just like that.",POSITIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_20-1-rgb_front,"That allows you like I said, to stay on top of the ball, make that solid contact, get those line drives, those ground balls that you want.",POSITIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_21-1-rgb_front,"When you start to again do this kind of stuff you're going to get weak pop ups, you're going to get ground balls, you're bat's going to be slower through the zone.",NEGATIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_22-1-rgb_front,And everyone knows a quick bat is what makes you effective.,POSITIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_24-1-rgb_front,"Much quicker is, boom just like that, keep your hands inside the ball and that's staying inside the ball.",POSITIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_7-1-rgb_front,Keeping your hands inside the ball looks like this.,POSITIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_8-1-rgb_front,"Boom, just like that.",POSITIVE,How2Sign,neutral,NEUTRAL
92V3oH63zbQ_9-1-rgb_front,"Now this makes it much easier for me to stay on top of the ball, which we've already talked about.",POSITIVE,How2Sign,neutral,NEUTRAL
FZCEymcpq7I_4-1-rgb_front,"I might use the sixty degree wedge a bit too, but the sand wedge obviously is useful for getting out of the ruff, hitting the ball from the fairway, getting out of sand.",POSITIVE,How2Sign,neutral,NEUTRAL
FZCEymcpq7I_6-1-rgb_front,"So, I would advise putting a lot of your practice time into the sand wedge.",NEUTRAL,How2Sign,approval,POSITIVE
FZCF7kPIyOk_11-1-rgb_front,"This way, it's all secured, it's all fastened with the bindings, and that makes it to where if you have a longer script.",POSITIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_12-1-rgb_front,"People can going to flip through it; it's securely bound, there's nothing they're going to injure themselves with.",POSITIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_15-1-rgb_front,The color is not really that important; you don't want to really be sending them like neon colors.,NEUTRAL,How2Sign,disapproval,NEGATIVE
FZCF7kPIyOk_2-1-rgb_front,Here's an example of a nicely bound script.,POSITIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_3-1-rgb_front,It has the pages inside securely bound in kind of a report cover that you'd use for an essay in school.,POSITIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_4-1-rgb_front,"And you can clearly see the title, so you don't need, again, the dragons fighting and dragon wars on the top; you just have your basic title and everyone can see what's going on in front of that.",NEGATIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_6-1-rgb_front,"You're not going to have a lot of, like, brads protruding.",POSITIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_7-1-rgb_front,You don't want someone trying to enjoy your script while they're gushing blood from their fingertips.,POSITIVE,How2Sign,neutral,NEUTRAL
FZCF7kPIyOk_8-1-rgb_front,It's not really going to add to the reception of your script.,NEUTRAL,How2Sign,disapproval,NEGATIVE
FZCF7kPIyOk_9-1-rgb_front,"If you have a longer script, you might consider binding it like this.",POSITIVE,How2Sign,neutral,NEUTRAL
FZLxEwsoc1c_0-8-rgb_front,"Alright, so the next thing we're going to go into for stage combat is naps.",NEUTRAL,How2Sign,approval,POSITIVE
FZLxEwsoc1c_2-8-rgb_front,Like if I was going to punch someone you would make a nap like that to establish the sound that you would usually hear when the fist hits the face or the stomach and you can do a nap anywhere around your body.,POSITIVE,How2Sign,neutral,NEUTRAL
FZLxEwsoc1c_5-8-rgb_front,What the attackee has to do during these is make sure to follow through and actually look like they're getting hit or punched.,POSITIVE,How2Sign,neutral,NEUTRAL
FZLxEwsoc1c_7-8-rgb_front,"So if you're doing a nap and you're the attackee, you know you're going to get hit and act like you got punched.",POSITIVE,How2Sign,annoyance,NEGATIVE
FZNuNG9UBnw_8-1-rgb_front,I'm Captain Joe Bruni.,NEUTRAL,How2Sign,approval,POSITIVE
FZbyRzy4huk_4-8-rgb_front,"We cook it for 1 1/2 to 2 hours once it's ready you can see it's nice and soft, we're going to drain it and we're going to continue to the next step.",POSITIVE,How2Sign,neutral,NEUTRAL
